Name,Organization_NPI,ABCD,Office_Email,Office_Hours,Apple_Health,Signed_up_to_Dentistlink,Facility_Type,Provider_Type,Delta_Dental_of_WA,Adult,Pediatric,Orthodontics,Dentures,Extractions,Billing_Address_Line_1,Billing_City,Billing_Zip/Postal_Code,Billing State/Province,Account_Owner,Latitude,Longitude,Google_Maps_link,sp_id
Amir Ganji,1417010232,1,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1424 South Bernard?????????????????????,Spokane,99203,WA,Heather Knaplund,47.642039,-117.417213,http://maps.google.com/maps?&z=10&q=47.6420389+-117.41721319999999&ll=47.6420389+-117.41721319999999,1
The Center for Pediatric Dentistry,,0,,,1,0,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,Magnuson Park                                        6222 NE 74th Street,Seattle,98115,WA,Joseph Gillick,47.680176,-122.253235,http://maps.google.com/maps?&z=10&q=47.6801756+-122.25323459999998&ll=47.6801756+-122.25323459999998,2
Choi Family Dental,,1,reception@choifamilydental.com,,1,1,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"3926 Cleveland Ave SE, Ste 100",Tumwater,98501,WA,Karen Davis,47.011333,-122.895085,http://maps.google.com/maps?&z=10&q=47.0113328+-122.89508460000002&ll=47.0113328+-122.89508460000002,3
Valley View Dental Clinic-Olympia,1104265925,0,providers@vvhc.org,,1,1,FQHC,,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,"3775 Martin Way E, Ste A",Olympia,98506,WA,Karen Davis,47.046699,-122.840703,http://maps.google.com/maps?&z=10&q=47.0466985+-122.84070259999999&ll=47.0466985+-122.84070259999999,4
Luchini Family Dentistry,1114128576,1,,Monday ? Thursday  7:30am ? 4:30pm,0,0,Private,Dentist,1,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,2107 W Pacific Ave,Spokane,99204,WA,Karen Davis,47.655326,-117.443402,http://maps.google.com/maps?&z=10&q=47.6553263+-117.44340210000001&ll=47.6553263+-117.44340210000001,5
Valley View Dental,1477715498,1,,Office hours Mon-Thurs Standard ? 8am-5pm Fri-7am-3pm,0,0,Private,Dentist,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,1120 N Pines Rd,Spokane Valley,99206,WA,Karen Davis,47.667736,-117.239182,http://maps.google.com/maps?&z=10&q=47.6677361+-117.23918179999998&ll=47.6677361+-117.23918179999998,6
Spokane Valley DDS:Psomas & Warnica,1073658175,1,cecelia@spokanevalleydds.com,,1,1,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"12409 E Mission, Ste 201",Spokane,99216,WA,Karen Davis,47.672263,-117.238334,http://maps.google.com/maps?&z=10&q=47.6722632+-117.23833389999999&ll=47.6722632+-117.23833389999999,7
Velis Family Dental Care,1275863425,1,admin@velisdental.com,,1,1,Private,Pediatric,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,820 S Pines Rd,Spokane,99206,WA,Karen Davis,47.649439,-117.240365,http://maps.google.com/maps?&z=10&q=47.6494393+-117.24036539999997&ll=47.6494393+-117.24036539999997,8
Beacon Hill Family Dentist-Tamarack Dental,,0,,Office hours-Mon-Fri  8am-4pm,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,No Extractions,4007 N Market,Spokane,99208,WA,Karen Davis,47.694912,-117.366397,http://maps.google.com/maps?&z=10&q=47.6949121+-117.3663972&ll=47.6949121+-117.3663972,9
North Cedar Dental,,1,michelle@mksmith.com,,1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"6817 N Cedar, Ste 101",Spokane,99208,WA,Konstanza Von Sternberg,47.720217,-117.433813,http://maps.google.com/maps?&z=10&q=47.7202165+-117.43381269999998&ll=47.7202165+-117.43381269999998,10
Child Family Dentistry,,1,frontdesk@childfamilydentistry.com,,1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,No Extractions,"10122 N Nevada St, Ste 101",Spokane,99218,WA,Konstanza Von Sternberg,47.749283,-117.394875,http://maps.google.com/maps?&z=10&q=47.74928260000001+-117.39487489999999&ll=47.74928260000001+-117.39487489999999,11
Northpointe Family Dentistry,1437476033,1,npfrontdesk@northpointefamilydentistry.com,"Office hours-Tues-Thurs Standard ? 8am-5pm Fri, Mon,  8am-2pm Weekend hours: Sat-8am-2pm",1,1,Private,Dentist,1,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,"605 E Holland, #108",Spokane,99218,WA,Karen Davis,47.744795,-117.39964,http://maps.google.com/maps?&z=10&q=47.7447953+-117.39963950000003&ll=47.7447953+-117.39963950000003,12
Fox's Spokane Denture Clinic,1477611580,0,,,1,1,Private,Denturist,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,No Extractions,1723 S Ray St,Spokane,99223,WA,Karen Davis,47.639343,-117.362664,http://maps.google.com/maps?&z=10&q=47.6393427+-117.3626643&ll=47.6393427+-117.3626643,13
Apple Valley Dental & Orthodontics - Pasco,1649617861,1,kirkjbean@gmail.com,"Office hours Standard ? 8am-5pm Tues, Thurs; Evening ? after 5pm Weekend hours: One Saturday, per Month: Standard Hours.",1,1,Private,Orthodontist,1,Appointment Only,Appointment Only,Appointment Only,Not Accepting,,6525 BURDEN BLVD,pasco,99301,wa,Jaime Arana,46.271143,-119.176309,http://maps.google.com/maps?&z=10&q=46.2711428+-119.176309&ll=46.2711428+-119.176309,14
Bannerwood Family & Cosmetic Dentistry,,0,info@factoriadental.com,,1,0,,,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"1808 Richards Rd., Ste. 101",Bellevue,98005,WA,Kristen West,47.594631,-122.165834,http://maps.google.com/maps?&z=10&q=47.59463119999999+-122.1658339&ll=47.59463119999999+-122.1658339,15
"Kenneth Hancock, DDS",1457551897,1,kennethhancock@comcast.net,,1,1,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"1401 4th Ave E, Ste 100",Olympia,98506,WA,Karen Davis,47.046074,-122.883263,http://maps.google.com/maps?&z=10&q=47.04607439999999+-122.88326259999997&ll=47.04607439999999+-122.88326259999997,16
"Mikael Kautsky, DDS",1427057066,1,frontoffice@drkautsky.com,,1,1,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"1100 Eastside St, Ste 4",Olympia,98501,WA,Karen Davis,47.038421,-122.886923,http://maps.google.com/maps?&z=10&q=47.0384213+-122.88692330000003&ll=47.0384213+-122.88692330000003,17
Lynden Family Dental Clinic,,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,"506 Grover St # 108,",Lynden,98264,WA,Joseph Gillick,48.943838,-122.454415,http://maps.google.com/maps?&z=10&q=48.9438381+-122.45441499999998&ll=48.9438381+-122.45441499999998,18
Olympia Dental Group,,1,,,1,1,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,6050 Pacific Ave SE,Lacey,98503,WA,Karen Davis,47.037603,-122.802467,http://maps.google.com/maps?&z=10&q=47.0376031+-122.80246690000001&ll=47.0376031+-122.80246690000001,19
Morgan Family Dental,,1,morganfamilydental@gmail.com,,1,1,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"19810 Old Hwy 99 SW, Ste 5",Rochester,98579,WA,Karen Davis,46.800387,-123.011283,http://maps.google.com/maps?&z=10&q=46.8003872+-123.0112828&ll=46.8003872+-123.0112828,20
University Place Smiles,1780020677,0,universityplacesmiles@yahoo.com,,1,0,Private,Dentist,0,Not Accepting,Not Accepting,Appointment Only,Not Accepting,,3670 Bridgeport Way W,University Place,98466,WA,Jaime Arana,47.224618,-122.537439,http://maps.google.com/maps?&z=10&q=47.2246177+-122.53743910000003&ll=47.2246177+-122.53743910000003,21
Inland Family Dentistry,1902071525,1,contact@ifdww.com,,1,0,,Dentist,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,217 S. 2nd St.,Walla Walla,99362,WA,Konstanza Von Sternberg,46.064451,-118.337204,http://maps.google.com/maps?&z=10&q=46.06445129999999+-118.33720360000001&ll=46.06445129999999+-118.33720360000001,22
"Anmarie Giddings, DDS",1750440582,0,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,7407 N Division St Ste K,Spokane,99208,WA,Konstanza Von Sternberg,47.725668,-117.41222,http://maps.google.com/maps?&z=10&q=47.7256675+-117.4122203&ll=47.7256675+-117.4122203,23
Central Washington Pediatric - Yakima,1841544061,0,drneal@cwpediatricdentistry.com,,1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,925 Seattle Slew Run,Yakima,98908,WA,Konstanza Von Sternberg,46.614057,-120.563297,http://maps.google.com/maps?&z=10&q=46.6140568+-120.56329679999999&ll=46.6140568+-120.56329679999999,24
Yakima Neighborhood Health Services,1972711018,0,cindy.meyers@ynhs.org,,1,0,Non-FQHC,Pediatric,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,12 S. 8th St,Yakima,98903,WA,Konstanza Von Sternberg,46.603738,-120.495594,http://maps.google.com/maps?&z=10&q=46.6037381+-120.4955936&ll=46.6037381+-120.4955936,25
"Dr. Victoria Wang-Miller, DDS",1962582890,0,,,1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,307 S. 11th Ave.,Yakima,98903,WA,Jaime Arana,46.593794,-120.521813,http://maps.google.com/maps?&z=10&q=46.5937937+-120.52181259999998&ll=46.5937937+-120.52181259999998,26
Yakima Valley Farmers Workers Clinic (YVFWC),1174659890,0,marlam@yvfwc.com,,1,0,Non-FQHC,Pediatric,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,602 E. Nob Hill Blvd.,Yakima,98903,WA,Jaime Arana,46.584643,-120.493971,http://maps.google.com/maps?&z=10&q=46.5846426+-120.4939708&ll=46.5846426+-120.4939708,27
Ephrata Dental CHC,,0,csursley@mlchc.org,,1,0,,,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,204 12th Ave SW,Ephrata,98823,WA,Heather Knaplund,47.309036,-119.560445,http://maps.google.com/maps?&z=10&q=47.3090359+-119.56044480000003&ll=47.3090359+-119.56044480000003,28
Hillyard Dental Clinic,1114475407,1,hdc@hillyarddental.com,Office hours Mon 10am-3pm Tues 8am-5pm Wed 12pm-7pm Thurs-Closed 10am-3pm Fri 8am-3pm,1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,4817 N Market St,Spokane,99217,WA,Konstanza Von Sternberg,47.702079,-117.365119,http://maps.google.com/maps?&z=10&q=47.7020794+-117.36511949999999&ll=47.7020794+-117.36511949999999,29
Yelm Dental,1336694231,1,garnercl56@gmail.com,,1,1,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"718 W Yelm Ave, Ste 3",Yelm,98597,WA,Karen Davis,46.947352,-122.615488,http://maps.google.com/maps?&z=10&q=46.9473521+-122.61548849999997&ll=46.9473521+-122.61548849999997,30
